Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_Short,SMA_Long,RSI,MACD,Signal,SMA_5,SMA_20,RSI_14,MACD_Signal,MACD_Hist,Position
2020-01-02 05:00:00,53.69854391927536,54.16705512958001,53.69854391927536,54.09497833251953,8432600,0.0,0.0,,,,0.0,0,,,,,,0
2020-01-03 05:00:00,53.130928936549765,53.139937247553135,52.29301509726844,52.31103515625,10546400,0.0,0.0,,,,-0.1423088573662312,0,,,,,,0
2020-01-06 05:00:00,51.89658769157884,51.97767624947405,51.47312827765965,51.70738220214844,8897200,0.0,0.0,,,,-0.3003372991357267,0,,,,,,0
2020-01-07 05:00:00,51.76143819575927,52.79756586611768,51.12174153358473,52.545291900634766,7444300,0.0,0.0,,,,-0.3538843097694908,0,,,,,,0
2020-01-08 05:00:00,52.42817254146621,53.139949569901695,52.35609572580124,52.93272399902344,5381500,0.0,0.0,,,,-0.3608979619926344,0,,,,,,0
2020-01-09 05:00:00,53.77963968909039,53.797659750020095,52.887669013408875,53.36518859863281,5112700,0.0,0.0,,,,-0.3277815908368851,0,,,,,,0
2020-01-10 05:00:00,53.78865526195978,53.78865526195978,52.95074127252361,53.031829833984375,4807700,0.0,0.0,,,,-0.3246930352214363,0,,,,,,0
2020-01-13 05:00:00,54.194098969301606,54.203107282068885,53.56341052935193,54.11301040649414,6613700,0.0,0.0,,,,-0.2323249982829551,0,,,,,,0
2020-01-14 05:00:00,54.20310627575312,54.63557745703867,53.98686896662264,54.34726333618164,6715200,0.0,0.0,,,,-0.1386224564525733,0,,,,,,0
2020-01-15 05:00:00,53.76162442655303,53.78865623884785,52.4912392319123,52.608367919921875,10075100,0.0,0.0,53.1057071685791,,,-0.2023443448460469,0,,,,,,0
2020-01-16 05:00:00,53.33816682768768,53.77964634569659,52.5272811703592,52.93272399902344,11215700,0.0,0.0,52.98948173522949,,,-0.2240884238032379,0,,,,,,0
2020-01-17 05:00:00,52.83361684312324,52.93272547477937,52.26599686716815,52.77956008911133,8125700,0.0,0.0,53.03633422851563,,,-0.2507888725085223,0,,,,,,0
2020-01-21 05:00:00,52.2479752065787,53.15796599352065,51.7794639074191,52.47322082519531,9873700,0.0,0.0,53.112918090820315,,,-0.2932873548263828,0,,,,,,0
2020-01-22 05:00:00,53.067858224855335,53.10389490433357,52.54528684721211,52.57231521606445,8124500,0.0,0.0,53.11562042236328,,40.845027135308655,-0.3153366148656076,0,,,,,,0
2020-01-23 05:00:00,52.13084935789287,52.32005486294744,51.013629516520766,51.788475036621094,9999200,0.0,0.0,53.00119552612305,,37.32674346462766,-0.3915466578164341,0,,,,,,0
2020-01-24 05:00:00,52.338071890924155,52.38312032709032,51.770451971699465,52.01371765136719,10402200,0.0,0.0,52.866048431396486,,48.0287079209824,-0.428825238919913,0,,,,,,0
2020-01-27 05:00:00,50.1126461842829,50.446012187209035,49.60809817894694,49.788291931152344,9675500,0.0,0.0,52.54169464111328,,39.52799608994785,-0.6306720452270156,0,,,,,,0
2020-01-28 05:00:00,50.211747611607954,51.46411256955885,49.98650201666786,51.43708419799805,8124400,0.0,0.0,52.27410202026367,,44.4444274457638,-0.6500993958876009,0,,,,,,0
2020-01-29 05:00:00,51.82451321875428,51.82451321875428,51.22085316344234,51.52718734741211,7693400,0.0,0.0,51.99209442138672,,42.7373780817846,-0.6507239989204123,0,,,,,,0
