Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_Short,SMA_Long,RSI,MACD,Signal,SMA_5,SMA_20,RSI_14,MACD_Signal,MACD_Hist,Position
2020-01-02 05:00:00,19.469999313354492,21.88999938964844,19.299999237060547,20.950000762939453,12629400,0.0,0.0,,,,0.0,0,,,,,,0
2020-01-03 05:00:00,20.549999237060547,22.59000015258789,20.530000686645508,22.079999923706055,11520900,0.0,0.0,,,,0.0901423831950545,0,,,,,,0
2020-01-06 05:00:00,21.459999084472656,23.450000762939453,21.40999984741211,23.209999084472656,10695200,0.0,0.0,,,,0.2498818770620765,0,,,,,,0
2020-01-07 05:00:00,23.170000076293945,23.204999923706055,22.420000076293945,23.1299991607666,7407000,0.0,0.0,,,,0.3658044851572732,0,,,,,,0
2020-01-08 05:00:00,22.920000076293945,23.90999984741211,22.190000534057617,23.84000015258789,7880800,0.0,0.0,,,,0.5090965850334754,0,,,,,,0
2020-01-09 05:00:00,24.290000915527344,24.469999313354492,22.8700008392334,23.15999984741211,8422200,0.0,0.0,,,,0.5613157661756389,0,,,,,,0
2020-01-10 05:00:00,22.56999969482422,22.59000015258789,20.829999923706055,21.549999237060547,11025500,0.0,0.0,,,,0.4673983720432986,0,,,,,,0
2020-01-13 05:00:00,22.350000381469727,22.83300018310547,21.850000381469727,21.989999771118164,7101800,0.0,0.0,,,,0.4235896486217783,0,,,,,,0
2020-01-14 05:00:00,22.0,23.01499938964844,21.979999542236328,22.8700008392334,5563700,0.0,0.0,,,,0.4546388576583062,0,,,,,,0
2020-01-15 05:00:00,22.93000030517578,23.270000457763672,22.760000228881836,23.030000686645508,4048400,0.0,0.0,22.58099994659424,,,0.4865476120228393,0,,,,,,0
2020-01-16 05:00:00,23.579999923706055,23.600000381469727,22.760000228881836,22.969999313354492,3051900,0.0,0.0,22.782999801635743,,,0.5012162118804078,0,,,,,,0
2020-01-17 05:00:00,23.11000061035156,23.15999984741211,22.40999984741211,22.799999237060547,6592500,0.0,0.0,22.85499973297119,,,0.4934355793364737,0,,,,,,0
2020-01-21 05:00:00,22.510000228881836,23.25,22.13999938964844,22.61000061035156,6813700,0.0,0.0,22.794999885559083,,,0.4665598590664466,0,,,,,,0
2020-01-22 05:00:00,22.799999237060547,23.059999465942383,22.530000686645508,22.540000915527344,4416400,0.0,0.0,22.736000061035156,,60.87551199646396,0.4346024403610293,0,,,,,,0
2020-01-23 05:00:00,22.0,22.65999984741211,21.75,22.510000228881836,3872300,0.0,0.0,22.60300006866455,,60.62669637694812,0.4022186251715496,0,,,,,,0
2020-01-24 05:00:00,22.8700008392334,23.08300018310547,21.59000015258789,21.81999969482422,4052900,0.0,0.0,22.46900005340576,,48.11594130787107,0.3172202245122726,0,,,,,,0
2020-01-27 05:00:00,20.850000381469727,22.469999313354492,20.61000061035156,22.299999237060547,4487900,0.0,0.0,22.54400005340576,,42.720005664059045,0.2853015524418083,0,,,,,,0
2020-01-28 05:00:00,22.61000061035156,22.780000686645508,21.989999771118164,22.40999984741211,3137800,0.0,0.0,22.58600006103516,,44.26752549938026,0.2658177235549104,0,,,,,,0
2020-01-29 05:00:00,22.59000015258789,22.61000061035156,22.040000915527344,22.3799991607666,2122200,0.0,0.0,22.536999893188476,,36.964286626601016,0.2451301364774423,0,,,,,,0
2020-01-30 05:00:00,22.079999923706055,22.239999771118164,20.780000686645508,21.260000228881836,4479900,0.0,0.0,22.35999984741211,,34.27153368758212,0.1367837630159414,0,,,,,,0
2020-01-31 05:00:00,21.280000686645508,21.700000762939453,21.1299991607666,21.549999237060547,4058000,0.0,0.0,22.217999839782713,,50.0,0.073472037873568,0,,,,,,0
2020-02-03 05:00:00,21.549999237060547,23.299999237060547,21.510000228881836,23.040000915527344,6803200,0.0,0.0,22.242000007629393,,59.098793015735126,0.1418920789887359,0,,,,,,0
2020-02-04 05:00:00,23.780000686645508,23.979999542236328,23.257999420166016,23.579999923706055,4123200,0.0,0.0,22.338999938964843,,56.53774442513288,0.2369573645150033,0,,,,,,0
